"REC_NUM","FINALWT","AGYOWNK","LFSSTAT","PROV","CMA","AGE_12","SEX","MARSTAT","EDUC","IMMIG","EFAMTYPE","HRLYEARN","COWMAIN","PERMTEMP","FIRMSIZE","SURVYEAR","UNION","NOC_10","UTOTHRS","TENURE","HRSTOT"
24206,122,0,1,48,8,8,2,1,2,3,8,15,2,1,1,2021,2,7,29,23,1479
81324,192,0,1,59,0,9,2,6,4,3,1,20.7478005865103,2,1,3,2019,2,8,40,101,2040
82343,77,0,1,48,0,7,1,2,1,3,2,50.8002991772625,2,1,3,2018,2,8,44,76,2244
23937,57,0,1,48,0,10,2,4,4,2,1,21.1667913238594,2,1,1,2018,2,7,20,47,1020
3213,117,1,2,10,0,5,2,1,6,3,3,59.2670157068063,1,1,4,2018,1,5,25,127,1200
43594,1002,4,1,35,4,9,1,1,3,2,4,36.308651026393,2,1,3,2019,1,8,99,17,5049
83784,298,1,1,59,0,4,1,1,4,3,6,23.9277478862414,2,1,2,2017,2,8,39,12,1989
34915,44,0,1,48,0,8,2,2,3,3,2,25.9347507331378,1,1,4,2019,1,4,22,238,1122
4477,133,0,1,47,0,12,2,3,1,3,1,14.5234604105572,2,1,4,2019,2,7,27,24,1377
42903,849,4,2,24,1,7,2,5,4,3,15,39.56,2,1,4,2021,2,5,35,240,1680
19160,309,0,1,35,0,6,1,1,4,3,2,49.8777126099707,2,1,2,2019,2,1,40,11,2040
46571,165,3,2,47,0,7,1,1,5,3,3,42.31,1,1,4,2021,1,5,40,240,1920
60559,218,0,1,48,7,2,2,6,2,3,1,22.5355880092237,2,1,1,2017,2,2,40,31,2040
86539,1254,0,1,24,2,2,2,6,2,3,18,12.8905759162304,2,1,2,2018,1,4,37,16,1887
6340,930,2,2,35,4,6,2,1,4,3,3,27.5168287210172,1,1,4,2018,1,5,40,151,1920
81412,437,1,1,24,0,3,1,1,2,3,3,17.9917726252805,2,2,2,2018,2,9,40,64,2040
17088,161,0,1,24,0,3,1,2,4,3,2,29.6335078534031,2,1,3,2018,1,10,40,5,2040
85271,1172,0,1,35,4,4,1,6,1,3,18,25.8778346744696,2,1,4,2020,2,10,40,31,2040
79062,907,0,1,48,8,3,2,2,5,3,2,19.23,2,1,1,2021,2,2,30,114,1530
74736,128,0,1,46,6,1,2,6,2,3,4,11.8004861630516,2,1,4,2018,2,7,25,10,1275
7548,132,4,1,12,0,8,1,1,2,3,4,26,1,1,4,2021,1,2,35,240,1785
59840,622,4,1,59,9,9,1,1,3,3,4,32.6287471176018,2,1,4,2017,2,7,40,240,2040
64935,353,1,1,24,0,3,1,2,4,3,6,21.1667913238594,2,1,4,2018,2,3,40,5,2040
4135,66,0,1,24,0,9,2,2,4,3,2,36,1,1,4,2021,1,2,35,240,1785
4561,1190,1,1,35,4,6,2,1,6,2,3,96.15,2,1,4,2021,2,1,40,120,2040
93596,397,2,1,24,0,6,1,2,4,3,3,24.3418100224383,2,1,1,2018,2,8,40,6,2040
77650,121,0,1,10,0,4,1,2,4,3,2,12.4486803519062,2,1,2,2019,2,7,40,76,2040
41123,185,1,1,48,0,5,2,1,4,3,3,28.2782475019216,2,1,3,2017,1,4,40,55,2040
31390,984,1,1,48,0,3,2,1,4,3,3,19.6671543525969,2,4,2,2020,2,5,20,48,1020
9305,112,3,1,46,6,6,2,1,4,1,3,9.55409656181419,2,1,2,2020,2,7,40,104,2040
76141,888,4,1,48,7,9,1,1,4,3,7,25.8778346744696,2,1,3,2020,2,8,40,45,2040
91865,151,0,1,35,0,4,2,6,5,3,1,28.2782475019216,2,1,1,2017,2,2,40,21,2040
46119,203,4,2,35,0,8,1,1,4,3,4,42.7871637202152,1,1,3,2017,1,5,44,155,2068
14489,166,0,1,13,0,3,1,6,5,3,18,26.9306451612903,2,3,2,2019,2,2,40,3,2040
20743,156,4,1,59,0,7,2,5,4,3,15,31.0940164547494,1,1,4,2018,1,4,32.5,163,1657.5
57846,102,3,1,12,0,8,1,1,4,3,3,46.6516080777861,2,1,4,2018,2,8,24.5,90,1249.5
80152,469,4,1,24,0,8,1,2,2,3,4,21,1,1,2,2021,1,8,47,130,2397
30231,221,0,1,59,0,9,2,1,2,3,2,5,2,4,1,2021,2,7,35,71,1785
61164,567,0,2,24,0,2,2,6,5,3,4,29.6335078534031,1,1,4,2018,1,4,25,7,1250
41329,758,0,1,24,1,1,2,6,1,2,14,13.5,2,4,3,2021,2,7,20,1,1020
62535,236,0,1,59,0,10,2,1,2,3,2,13.7584143605086,2,1,4,2018,2,7,31,28,1581
12087,82,0,2,35,0,7,1,5,4,3,1,47.087307973665,1,1,4,2020,1,3,37.2,219,1860
26023,39,1,2,11,0,5,2,6,2,3,14,17.3038519072551,1,2,3,2018,2,7,37.5,28,1162.5
11013,1073,0,1,35,4,4,1,1,1,2,8,10.3116568914956,2,1,1,2019,2,1,40,55,2040
89906,101,0,1,47,0,4,2,6,2,3,1,32.422098385857,1,1,4,2017,2,2,40,58,2040
50240,224,1,1,35,0,4,1,1,0,3,6,21.1667913238594,2,1,1,2018,2,9,50,7,2550
31909,179,0,1,24,0,1,1,6,1,3,6,13.8672175249808,1,3,1,2017,2,6,40.5,2,2065.5
56477,99,0,2,35,0,8,1,1,3,3,2,25.0153727901614,2,1,2,2017,1,8,40,240,0
5963,171,0,1,46,6,5,2,1,5,3,14,15.0421554252199,2,1,4,2019,1,7,50,101,2550
69822,189,0,2,59,0,8,1,5,4,3,1,45.5449890270666,2,1,3,2020,1,8,40,240,2000
13676,156,1,2,59,0,4,2,1,5,3,3,29.3661667885882,1,1,4,2020,1,5,40,62,0
87918,412,1,1,35,5,5,1,1,4,3,3,25.4001495886313,1,1,4,2018,1,4,16,194,816
76153,150,1,1,46,6,6,1,1,5,3,3,58.5155946148093,1,1,4,2018,1,5,40,194,2040
20057,734,0,1,24,2,10,2,6,4,3,1,31.5411222136818,2,1,2,2017,2,5,35,160,1785
666,125,0,1,46,6,2,1,6,3,3,10,23.2834704562453,2,1,1,2018,2,8,40,13,2040
83851,97,0,1,46,6,6,1,6,4,3,1,49.76825164594,1,1,4,2020,1,10,40,160,2040
2781,107,0,1,10,0,7,2,1,4,3,2,16.4426319648094,2,1,3,2019,2,2,40,37,2040
47783,118,1,2,24,0,5,2,2,5,3,3,41.7653225806452,1,3,4,2019,1,5,32,91,1472
33120,464,2,1,48,0,6,2,1,4,3,3,31.1217008797654,1,1,1,2019,1,6,32,193,1632
76303,53,3,1,11,0,6,1,1,4,3,3,27.1906225980015,1,1,4,2017,1,8,40,93,2040
44266,117,2,1,13,0,5,2,6,4,3,14,20.3518698578908,1,1,2,2018,2,2,37.5,33,1912.5
49589,493,0,1,35,5,4,2,6,2,3,10,14.5234604105572,2,1,1,2019,1,7,37.5,1,1912.5
2948,348,0,1,35,0,1,1,6,1,3,11,14.7503657644477,2,1,4,2020,2,7,36,28,1836
9134,138,0,2,46,6,10,1,1,5,3,2,24.7002565982405,2,1,4,2019,2,8,31.5,150,1575
99522,341,0,1,24,0,9,2,1,4,3,8,12.2357801691007,2,1,1,2017,2,2,12,7,612
13417,1054,0,1,24,2,6,1,2,4,2,8,54.2716529543755,2,1,4,2018,2,3,30,73,1530
47468,163,0,1,47,0,2,2,4,4,3,2,19.25,1,2,4,2021,1,5,40,15,2040
2692,188,2,2,12,0,7,1,1,4,3,3,23,1,1,4,2021,1,7,42,135,2100
11089,132,1,1,46,6,6,1,1,5,1,3,14.8167539267016,2,1,3,2018,2,8,68,66,3468
59737,56,0,1,12,0,5,1,6,4,3,1,12.7080278592375,2,1,4,2019,2,7,44,3,2244
26001,148,2,2,24,0,6,2,6,5,3,14,45.9425205684368,1,1,4,2018,1,5,35,219,1645
100646,138,0,1,24,0,3,2,6,4,3,1,14.7916986933128,2,1,4,2017,2,7,35,54,1785
39211,134,0,1,48,7,9,1,6,4,3,1,16.3143735588009,2,1,3,2017,2,8,37,16,1887
66311,169,1,1,24,0,5,1,1,2,3,3,36.0944038039503,2,1,4,2020,1,8,50,145,2550
77045,116,0,1,10,0,12,2,3,0,3,1,13.5953112990008,2,1,4,2017,2,7,22,107,1122
23173,653,0,1,24,1,1,1,6,3,3,3,26.9129480614484,2,4,4,2020,2,2,19.5,4,994.5
57211,146,0,2,12,0,7,2,5,5,3,1,46.572098385857,1,1,4,2017,1,4,35,139,1750
53967,180,0,1,35,0,10,1,1,2,3,5,62.5,2,1,4,2021,2,1,40,240,2040
58943,614,2,1,35,3,7,2,1,5,3,3,58.0710919970082,1,1,4,2018,1,5,37.5,15,1912.5
94952,194,0,1,24,0,2,1,6,2,3,18,18.0976065818998,2,4,4,2018,2,7,75,25,3825
78486,78,2,1,35,0,5,2,6,4,3,14,32.1487170087977,1,1,4,2019,1,2,35,130,1785
32009,152,0,1,47,0,1,2,6,4,3,3,14.2875841436051,2,2,1,2018,2,7,40,13,2040
46434,128,0,1,48,8,10,1,1,4,3,5,46.5801024140454,2,3,4,2020,1,8,60,1,3060
72684,182,2,1,47,0,6,2,6,5,3,14,34.2338709677419,1,1,4,2019,1,5,37.8,238,1927.8
44234,379,0,1,35,0,3,1,2,4,3,2,18.5070381231672,2,1,3,2019,2,3,37.5,29,1912.5
50526,152,1,1,46,0,4,2,1,2,3,3,22.8225806451613,2,1,3,2019,2,7,3.5,18,178.5
81918,394,0,1,35,0,3,1,6,4,3,1,20.320119670905,2,1,4,2018,1,8,40,27,2040
49630,101,0,1,47,0,4,2,6,6,3,18,37.6557217651458,2,1,1,2018,2,4,40,34,2040
32258,659,0,1,35,4,9,1,1,5,2,5,19.4628646222887,2,1,2,2018,2,2,40,19,2040
31750,844,0,1,35,4,6,1,5,4,3,1,44.6252498078401,2,1,4,2017,1,3,40,10,2040
1843,137,0,1,47,0,7,1,6,2,3,1,22.5,2,1,4,2021,2,8,40,180,2040
40326,203,1,1,12,0,9,1,1,2,3,6,31.11,2,1,1,2021,2,7,34,92,1734
61101,109,0,2,47,0,11,1,6,5,3,1,27.1358264771877,1,3,3,2018,2,5,37.5,38,1762.5
61095,166,0,1,24,0,2,1,6,5,3,15,26.5986803519062,2,1,1,2019,2,2,37.5,13,1912.5
10864,1116,2,1,59,9,7,2,1,4,3,3,46.88,1,1,4,2021,1,2,40,209,2040
19013,330,0,1,48,8,6,2,2,4,2,2,21.2198244330651,2,1,2,2020,2,7,83,88,4233
41079,644,0,1,24,0,4,1,1,4,3,2,16.5735976065819,2,1,4,2018,2,7,40,19,2040
81658,854,0,1,24,2,10,1,6,3,3,1,23.8076079005121,2,1,3,2020,2,2,32,240,1632
3898,187,0,1,35,0,10,2,6,5,3,1,20,2,1,1,2021,2,2,25,10,1275
85960,335,0,1,35,0,2,2,2,3,3,2,17.9917726252805,2,1,1,2018,1,7,30,7,1530
826,509,0,1,35,5,1,1,6,1,3,3,13.7584143605086,2,1,4,2018,2,7,25,4,1275
9300,127,0,1,47,0,11,2,2,6,3,2,28.1343818580834,2,1,2,2020,2,3,6,144,306
53356,74,0,1,46,6,6,2,2,5,1,2,13.2292445774121,2,1,2,2018,2,2,40,31,2040
58693,115,0,2,47,0,7,2,1,4,3,2,23.2834704562453,2,1,2,2018,2,2,40,34,2000
65528,194,0,1,12,0,3,1,6,3,3,1,15.5608504398827,2,1,3,2019,2,8,40,3,2040
101399,287,4,1,35,0,7,2,1,4,3,4,25.0153727901614,1,1,4,2017,1,2,37.5,240,1912.5
45481,310,0,1,59,0,6,1,1,4,3,1,32.1590909090909,2,1,1,2019,2,8,40,38,2040
18778,1294,0,1,35,4,5,1,1,5,3,2,54,1,3,3,2021,1,5,36.3,1,1851.3
34785,117,0,1,59,0,10,2,1,5,3,8,45.6802459646426,2,1,3,2017,2,1,65,50,3315
62836,125,0,1,24,0,9,1,6,4,3,1,18,2,1,1,2021,2,10,40,4,2040
43863,133,0,1,59,0,8,1,6,4,3,1,23.2834704562453,2,1,3,2018,2,10,40,3,2040
1547,117,0,1,10,0,7,1,2,4,3,2,31.1217008797654,2,1,4,2019,1,9,84,6,4284
43402,1064,0,1,59,9,10,1,1,5,1,5,16.4065471836138,2,1,4,2020,1,2,40,29,2040
40013,160,2,1,46,6,6,1,1,2,2,6,52.4181419166057,2,1,2,2020,2,8,30,84,1530
89001,595,0,1,48,8,8,1,1,4,3,2,27.9265395894428,2,1,3,2019,2,7,50,18,2550
19247,973,0,2,48,0,7,1,4,4,3,1,65,2,3,4,2021,2,8,42,6,1932
55009,88,2,2,46,6,9,1,1,5,3,3,54,1,1,2,2021,1,5,37.5,48,1762.5
29972,436,0,1,59,0,4,1,5,2,3,1,42.11,2,1,4,2021,2,9,48,118,2448
446,286,1,2,59,0,3,1,2,2,3,3,31.0534016093636,2,1,1,2020,2,8,40,83,0
9869,81,0,1,35,0,8,2,1,4,3,8,50.884966342558,2,1,4,2018,2,1,40,240,2040
45410,324,0,1,24,0,1,1,6,2,3,6,12.7000747943156,1,2,3,2018,2,9,40,2,2040
68263,177,0,1,24,0,2,2,6,4,3,3,21,1,3,4,2021,1,4,37.5,15,1912.5
5779,288,0,1,59,0,2,1,2,3,3,2,11.9714809384164,2,1,1,2019,1,6,40,14,2040
8464,87,0,1,46,6,6,1,6,4,3,1,22.9053804765565,2,1,1,2017,2,10,40,197,2040
12086,1019,0,1,35,0,7,2,6,4,3,2,14.42,1,4,4,2021,1,2,40,240,2040
14854,118,4,1,59,0,6,2,1,1,3,4,11.9638739431207,2,3,1,2017,2,6,10,2,510
85300,315,4,1,35,0,8,2,1,4,3,4,25.102382782475,2,1,4,2017,2,2,40,13,2040
8437,63,0,1,46,0,3,1,6,2,3,5,14.6829362029208,2,1,2,2017,2,7,45,19,2295
32484,206,0,1,35,0,9,2,1,5,3,8,39.400073313783,1,1,4,2019,1,5,40,240,2040
54130,127,0,1,59,0,1,2,6,2,3,6,11.8007302075327,2,1,4,2017,2,7,40,4,2040
80864,83,1,2,47,0,5,2,1,5,3,3,41.8300538047656,2,1,1,2017,2,7,45,126,2205
64158,114,0,2,35,0,10,2,1,2,3,8,19.3,1,1,4,2021,1,5,35,240,1715
3312,282,4,1,59,0,8,2,1,4,3,4,18.9116202346041,2,1,3,2019,1,2,16,46,816
67342,207,0,1,59,0,3,2,6,4,3,1,35.6414681014604,1,3,4,2017,1,4,40,39,2040
51355,220,4,2,35,0,10,1,5,4,3,15,74.4330216903515,2,1,4,2018,2,10,39.1,240,1955
71586,800,0,1,24,0,1,1,6,1,3,3,12.4213606437454,1,2,2,2020,2,6,30,9,1530
30145,114,0,2,47,0,4,2,2,5,3,1,37.6535741737125,1,1,4,2017,1,5,45,124,0
